,id,timestamp,film_title_en,film_title_romanji,film_title_original,year_released,director,production_studio,production_studio_gps,prefecture,film_location,latitude,longitude,researcher_source,release_date,country_of_production,topographical_targets,animated,budget,tmdb_id
21,21,,The Hidden Fortresses The LAST PRINCESS,kakushi toride no sanakunin,隠し砦の三悪人　THE LAST PRINCESS （かくしとりでのさんあくにん）,2008,Higuchi Shinji,"[""Chukyo TV Broadcasting Company (CTV)"",""  Dentsu"",""  J Storm"",""  Nippon Television Network (NTV)"",""  Shogakukan"",""  Toho Company"",""  Yomiuri Shimbun"",""  The Yomiuri Telecasting Corporation (YTV)""]",,Nagano Prefecture,鴻之巣 (Konnosu),36.074981,139.504183,JL-DB,10/5/2008,,,No,,
22,22,,School ghost story 4,gakkō no kaidan,学校の怪談4,1995,Hirayama Hideyuk,,,Nagano Prefecture,旧西塩田小学校 (Former Nishida elementary school),36.351855,138.176116,JL-DB,8/7/1995,,,No,,
23,23,,Make a school,gakkō no kaidan,学校をつくろう,2011,Kiyama Seijiro,"[""School corporation Senshu University""]",,Nagano Prefecture,旧宣教師館 (Old missionary building),35.720753,139.720608,JL-DB,19/02/2011,,,No,,
24,24,,As you are,kimi no mamade,君のままで,2003,Kosuke Suzuki,"[""Maru Masahiro""]",,Nagano Prefecture,旧西塩田小学校 (Former Nishida elementary school),36.351855,138.176116,JL-DB,,,,No,,
25,25,,SamuLife,samuraifu,サムライフ,2015,Takeshi Moriya,"[""Yurie Morimoto""]",,Nagano Prefecture,菅平牧場 (Sugadaira ranch),36.5385492,138.3725688,JL-DB,7/2/2015,,,No,0,354820
26,26,,"Goodbye, Kuro - The story of the happiest dog in the world ~","sayonara, kuro~seikai-shiawasena inu no monogatari~",さよなら、クロ 〜世界一幸せな犬の物語〜,2003,Ruo Matsuoka,"[""Cine Cannon"",""  Dentsu"",""  Satellite"",""  Theater Happinet Pictures"",""  Artist Film""]",,Nagano Prefecture,北小学校 (North elementary school),34.78231725,135.6255962,JL-DB,5/6/2003,,,No,,
27,27,,Signal: Luca on mondays,shiganaru getsuyoubi no ruka,シグナル　月曜日のルカ,2012,Masaaki Taniguchi,"[""TV Asahi"",""  Sony Music Entertainment"",""  Ten Carat Hakuhodo Casting & Entertainment"",""  Gentosha"",""  Horipro""]",,Nagano Prefecture,上田映劇 (Ueda eegaki),24.9403881,121.3347653,JL-DB,9/6/2012,"[""JP""]",,No,0,222287
28,28,,Yamenko on the last day,suguruhi no yamaneko,過ぐる日のやまねこ,2015,Kiko Tsuruoka,"[""PFF Partners ( Pia "",""  Horipro "",""  Nikkatsu )"",""  Amuse"",""  Koto Productions"",""  Toppan Printing"",""  Eight and Half Affiliated Works""]",,Nagano Prefecture,塩野神社 (Shiono Shrine) ,35.1866985,137.0499507,JL-DB,19/09/2015,"[""JP""]",,No,0,487512
29,29,,A bolt from the blue,seiten no hekireki,青天の霹靂,2014,One theater company,"[""Toho Company"",""  Dentsu"",""  Amuse"",""  Gentosha"",""  Ohta Production"",""  Creative Office Cue"",""  Nippon Shuppan Hanbai (Nippan) K.K."",""  KDDI Corporation"",""  GyaO"",""  Toho Pictures""]",,Nagano Prefecture,上田映劇 (Ueda eegaki),24.9403881,121.3347653,JL-DB,24/05/2014,"[""JP""]",,No,0,319171
30,30,,Fatal frame,rei zero,零　ゼロ,2014,Mari Asato,"[""Kadokawa""]",,Nagano Prefecture,JA信州うえだ塩田東山観光農園 (JA Shinshu Ueda Shioda Higashiyama Tourist Farm),36.3556274,138.2358397,JL-DB,26/09/2014,"[""JP""]",,No,0,297186
31,31,,Fatal frame,rei zero,零　ゼロ,2014,Mari Asato,"[""Kadokawa""]",,Nagano Prefecture,塩野神社 (Shiono Shrine) ,35.1866985,137.0499507,JL-DB,26/09/2014,"[""JP""]",,No,0,297186
32,32,,Fatal frame,rei zero,零　ゼロ,2014,Mari Asato,"[""Kadokawa""]",,Nagano Prefecture,旧西塩田小学校 (Former Nishida elementary school),36.351855,138.176116,JL-DB,26/09/2014,"[""JP""]",,No,0,297186
33,33,,Zero Focus,zero no shoten,ゼロの焦点 （ゼロのしょうてん）,2009,Isshin Inudo,"[""Asahi Broadcasting Corporation (ABC)"",""  Asahi Shimbun"",""  Dentsu"",""  FLaMmE"",""  IMJ Entertainment"",""  Nippon Shuppan Hanbai (Nippan) K.K."",""  TV Asahi"",""  Toho Company"",""  Tokyo FM Broadcasting Co."",""  Tsutaya Group"",""  Yahoo Japan""]",,Nagano Prefecture,信州大学繊維学部 講堂 (Shinshu University Faculty of Textile Studies Auditorium ),36.2501,137.979196,JL-DB,14/11/2009,"[""JP""]",,No,0,51587
